date,hospital_id,Hospital name,Location,total_number_of_beds,total_admissions,baseline_admissions,surge_multiplier,is_surge,surge_severity,surge_reasons,respiratory_admissions,waterborne_admissions,heat_related_admissions,trauma_admissions,other_admissions,avg_aqi,temperature_c,rainfall_mm,active_events
2019-01-01,KEM_H1,King Edward Memorial Hospital,Parel,2250,291,243,1.2,True,Minor,Poor AQI,84,24,12,48,123,288,29.9,0.0,None
2019-01-02,KEM_H1,King Edward Memorial Hospital,Parel,2250,331,221,1.5,True,Moderate,Severe pollution spike causing respiratory distress.,96,27,13,55,140,305,30.2,0.0,None
2019-01-03,KEM_H1,King Edward Memorial Hospital,Parel,2250,471,314,1.5,True,Moderate,Severe smog causing respiratory spike.,137,39,19,78,198,312,29.5,0.0,None
2019-01-04,KEM_H1,King Edward Memorial Hospital,Parel,2250,363,303,1.2,True,Minor,Poor AQI,105,30,15,60,153,295,30.1,0.0,None
2019-01-05,KEM_H1,King Edward Memorial Hospital,Parel,2250,229,191,1.2,True,Minor,Poor AQI,66,19,9,38,97,277,28.5,0.0,None
2019-01-06,KEM_H1,King Edward Memorial Hospital,Parel,2250,277,231,1.2,True,Minor,Poor AQI,80,23,11,46,117,245,30.0,0.0,None
2019-01-07,KEM_H1,King Edward Memorial Hospital,Parel,2250,360,300,1.2,True,Minor,Poor AQI,105,30,15,60,150,211,30.6,0.0,None
2019-01-08,KEM_H1,King Edward Memorial Hospital,Parel,2250,298,298,1.0,False,None,None,44,29,14,59,152,198,30.0,0.0,None
2019-01-09,KEM_H1,King Edward Memorial Hospital,Parel,2250,382,319,1.2,True,Minor,Poor AQI,111,31,15,63,162,220,28.1,0.0,None
2019-01-10,KEM_H1,King Edward Memorial Hospital,Parel,2250,297,248,1.2,True,Minor,Poor AQI,86,24,12,49,126,260,28.9,0.0,None
2019-01-11,KEM_H1,King Edward Memorial Hospital,Parel,2250,325,217,1.5,True,Moderate,Winter smog triggered respiratory distress admissions.,94,27,13,54,137,325,28.7,0.0,None
2019-01-12,KEM_H1,King Edward Memorial Hospital,Parel,2250,369,246,1.5,True,Moderate,Severe smog causing respiratory distress and infections.,107,30,15,61,156,335,27.3,0.0,None
2019-01-13,KEM_H1,King Edward Memorial Hospital,Parel,2250,379,253,1.5,True,Moderate,Severe smog causing respiratory spike.,110,31,15,63,160,348,29.5,0.0,None
2019-01-14,KEM_H1,King Edward Memorial Hospital,Parel,2250,366,244,1.5,True,Moderate,Severe smog causing respiratory spike.,106,30,15,61,154,301,29.8,0.0,None
2019-01-15,KEM_H1,King Edward Memorial Hospital,Parel,2250,291,243,1.2,True,Minor,Poor AQI,84,24,12,48,123,280,31.6,0.0,None
2019-01-16,KEM_H1,King Edward Memorial Hospital,Parel,2250,270,225,1.2,True,Minor,Poor AQI,78,22,11,45,114,255,30.5,0.0,None
2019-01-17,KEM_H1,King Edward Memorial Hospital,Parel,2250,315,263,1.2,True,Minor,Poor AQI,91,26,13,52,133,230,29.6,0.0,None
2019-01-18,KEM_H1,King Edward Memorial Hospital,Parel,2250,345,288,1.2,True,Minor,Poor AQI,100,28,14,57,146,205,29.3,0.0,None
2019-01-19,KEM_H1,King Edward Memorial Hospital,Parel,2250,183,183,1.0,False,None,None,27,18,9,36,93,185,31.1,0.0,None
2019-01-20,KEM_H1,King Edward Memorial Hospital,Parel,2250,308,257,1.2,True,Minor,Poor AQI,89,25,12,51,131,215,31.1,0.0,None
2019-01-21,KEM_H1,King Edward Memorial Hospital,Parel,2250,290,242,1.2,True,Minor,Poor AQI,84,24,12,48,122,290,27.9,0.0,None
2019-01-22,KEM_H1,King Edward Memorial Hospital,Parel,2250,361,241,1.5,True,Moderate,"Extreme smog triggered respiratory crisis, overwhelming hospitals.",105,30,15,60,151,310,26.5,0.0,None
2019-01-23,KEM_H1,King Edward Memorial Hospital,Parel,2250,333,222,1.5,True,Moderate,Severe winter smog spike triggering acute respiratory distress.,97,27,13,55,141,315,25.9,0.2,None
2019-01-24,KEM_H1,King Edward Memorial Hospital,Parel,2250,270,225,1.2,True,Minor,Poor AQI,78,22,11,45,114,300,26.5,0.0,None
2019-01-25,KEM_H1,King Edward Memorial Hospital,Parel,2250,328,274,1.2,True,Minor,Poor AQI,95,27,13,54,139,275,25.7,0.0,None
2019-01-26,KEM_H1,King Edward Memorial Hospital,Parel,2250,286,239,1.2,True,Minor,Poor AQI,83,23,11,47,122,250,27.3,0.0,None
2019-01-27,KEM_H1,King Edward Memorial Hospital,Parel,2250,230,192,1.2,True,Minor,Poor AQI,67,19,9,38,97,235,29.0,0.0,None
2019-01-28,KEM_H1,King Edward Memorial Hospital,Parel,2250,262,219,1.2,True,Minor,Poor AQI,76,21,10,43,112,225,28.5,0.0,None
2019-01-29,KEM_H1,King Edward Memorial Hospital,Parel,2250,289,241,1.2,True,Minor,Poor AQI,84,24,12,48,121,240,29.5,0.0,None
2019-01-30,KEM_H1,King Edward Memorial Hospital,Parel,2250,312,260,1.2,True,Minor,Poor AQI,91,26,13,52,130,265,29.9,0.0,None
2019-01-31,KEM_H1,King Edward Memorial Hospital,Parel,2250,303,253,1.2,True,Minor,Poor AQI,88,25,12,50,128,285,28.3,0.0,None
2019-02-01,KEM_H1,King Edward Memorial Hospital,Parel,2250,284,237,1.2,True,Minor,Poor AQI,82,23,11,47,121,235,28.4,0.0,None
2019-02-02,KEM_H1,King Edward Memorial Hospital,Parel,2250,277,231,1.2,True,Minor,Poor AQI,80,23,11,46,117,240,27.4,0.0,None
2019-02-03,KEM_H1,King Edward Memorial Hospital,Parel,2250,331,276,1.2,True,Minor,Poor AQI,96,27,13,55,140,255,28.9,0.0,None
2019-02-04,KEM_H1,King Edward Memorial Hospital,Parel,2250,403,336,1.2,True,Minor,Poor AQI,117,33,16,67,170,260,30.6,0.0,None
2019-02-05,KEM_H1,King Edward Memorial Hospital,Parel,2250,334,279,1.2,True,Minor,Poor AQI,97,27,13,55,142,250,29.0,0.0,None
2019-02-06,KEM_H1,King Edward Memorial Hospital,Parel,2250,300,250,1.2,True,Minor,Poor AQI,87,25,12,50,126,245,27.0,0.0,None
2019-02-07,KEM_H1,King Edward Memorial Hospital,Parel,2250,351,293,1.2,True,Minor,Poor AQI,102,29,14,58,148,230,25.1,0.0,None
2019-02-08,KEM_H1,King Edward Memorial Hospital,Parel,2250,386,322,1.2,True,Minor,Poor AQI,112,32,16,64,162,215,23.2,0.0,None
2019-02-09,KEM_H1,King Edward Memorial Hospital,Parel,2250,206,206,1.0,False,None,None,30,20,10,41,105,200,27.6,0.0,None
2019-02-10,KEM_H1,King Edward Memorial Hospital,Parel,2250,197,197,1.0,False,None,None,29,19,9,39,101,195,28.8,0.0,None
2019-02-11,KEM_H1,King Edward Memorial Hospital,Parel,2250,354,295,1.2,True,Minor,Poor AQI,103,29,14,59,149,210,30.9,0.0,None
2019-02-12,KEM_H1,King Edward Memorial Hospital,Parel,2250,324,270,1.2,True,Minor,Poor AQI,94,27,13,54,136,225,32.4,0.0,None
2019-02-13,KEM_H1,King Edward Memorial Hospital,Parel,2250,349,291,1.2,True,Minor,Poor AQI,101,29,14,58,147,235,29.3,0.0,None
2019-02-14,KEM_H1,King Edward Memorial Hospital,Parel,2250,303,253,1.2,True,Minor,Poor AQI,88,25,12,50,128,240,29.0,0.0,None
2019-02-15,KEM_H1,King Edward Memorial Hospital,Parel,2250,338,282,1.2,True,Minor,Poor AQI,98,28,14,56,142,255,27.8,0.0,None
2019-02-16,KEM_H1,King Edward Memorial Hospital,Parel,2250,249,208,1.2,True,Minor,Poor AQI,72,20,10,41,106,270,27.6,0.0,None
2019-02-17,KEM_H1,King Edward Memorial Hospital,Parel,2250,313,261,1.2,True,Minor,Poor AQI,91,26,13,52,131,285,27.3,0.0,None
2019-02-18,KEM_H1,King Edward Memorial Hospital,Parel,2250,309,258,1.2,True,Minor,Poor AQI,90,25,12,51,131,275,28.8,0.0,None
2019-02-19,KEM_H1,King Edward Memorial Hospital,Parel,2250,274,229,1.2,True,Minor,Poor AQI,79,22,11,45,117,260,28.8,0.0,None
2019-02-20,KEM_H1,King Edward Memorial Hospital,Parel,2250,292,244,1.2,True,Minor,Poor AQI,85,24,12,48,123,245,30.1,0.0,None
2019-02-21,KEM_H1,King Edward Memorial Hospital,Parel,2250,318,265,1.2,True,Minor,Poor AQI,92,26,13,53,134,230,29.4,0.0,None
2019-02-22,KEM_H1,King Edward Memorial Hospital,Parel,2250,313,261,1.2,True,Minor,Poor AQI,91,26,13,52,131,220,29.6,0.0,None
2019-02-23,KEM_H1,King Edward Memorial Hospital,Parel,2250,290,242,1.2,True,Minor,Poor AQI,84,24,12,48,122,215,32.6,0.0,None
2019-02-24,KEM_H1,King Edward Memorial Hospital,Parel,2250,234,195,1.2,True,Minor,Poor AQI,68,19,9,39,99,205,30.0,0.0,None
2019-02-25,KEM_H1,King Edward Memorial Hospital,Parel,2250,269,269,1.0,False,None,None,40,26,13,53,137,190,29.6,0.0,None
2019-02-26,KEM_H1,King Edward Memorial Hospital,Parel,2250,262,262,1.0,False,None,None,39,26,13,52,132,185,30.8,0.0,None
2019-02-27,KEM_H1,King Edward Memorial Hospital,Parel,2250,260,260,1.0,False,None,None,39,26,13,52,130,175,27.4,0.0,None
2019-02-28,KEM_H1,King Edward Memorial Hospital,Parel,2250,301,301,1.0,False,None,None,45,30,15,60,151,195,29.3,0.0,None
2019-03-01,KEM_H1,King Edward Memorial Hospital,Parel,2250,248,248,1.0,False,None,None,37,24,12,49,126,178,28.7,0.0,None
2019-03-02,KEM_H1,King Edward Memorial Hospital,Parel,2250,247,247,1.0,False,None,None,37,24,12,49,125,165,28.6,0.0,None
2019-03-03,KEM_H1,King Edward Memorial Hospital,Parel,2250,236,236,1.0,False,None,None,35,23,11,47,120,155,27.5,0.0,None
2019-03-04,KEM_H1,King Edward Memorial Hospital,Parel,2250,224,224,1.0,False,None,None,33,22,11,44,114,170,28.0,0.0,None
2019-03-05,KEM_H1,King Edward Memorial Hospital,Parel,2250,252,252,1.0,False,None,None,37,25,12,50,128,162,27.3,0.0,None
2019-03-06,KEM_H1,King Edward Memorial Hospital,Parel,2250,229,229,1.0,False,None,None,34,22,11,45,117,149,27.3,0.0,None
2019-03-07,KEM_H1,King Edward Memorial Hospital,Parel,2250,238,238,1.0,False,None,None,35,23,11,47,122,158,28.7,0.0,None
2019-03-08,KEM_H1,King Edward Memorial Hospital,Parel,2250,215,215,1.0,False,None,None,32,21,10,43,109,142,29.5,0.0,None
2019-03-09,KEM_H1,King Edward Memorial Hospital,Parel,2250,197,197,1.0,False,None,None,29,19,9,39,101,153,30.5,0.0,None
2019-03-10,KEM_H1,King Edward Memorial Hospital,Parel,2250,247,247,1.0,False,None,None,37,24,12,49,125,145,30.5,0.0,None
2019-03-11,KEM_H1,King Edward Memorial Hospital,Parel,2250,210,210,1.0,False,None,None,31,21,10,42,106,135,28.3,0.0,None
2019-03-12,KEM_H1,King Edward Memorial Hospital,Parel,2250,247,247,1.0,False,None,None,37,24,12,49,125,148,28.5,0.0,None
2019-03-13,KEM_H1,King Edward Memorial Hospital,Parel,2250,208,208,1.0,False,None,None,31,20,10,41,106,128,28.2,0.0,None
2019-03-14,KEM_H1,King Edward Memorial Hospital,Parel,2250,306,306,1.0,False,None,None,45,30,15,61,155,140,28.9,0.0,None
2019-03-15,KEM_H1,King Edward Memorial Hospital,Parel,2250,278,278,1.0,False,None,None,41,27,13,55,142,133,33.4,0.0,None
2019-03-16,KEM_H1,King Edward Memorial Hospital,Parel,2250,170,170,1.0,False,None,None,25,17,8,34,86,125,30.9,0.0,None
2019-03-17,KEM_H1,King Edward Memorial Hospital,Parel,2250,196,196,1.0,False,None,None,29,19,9,39,100,137,30.0,0.0,None
2019-03-18,KEM_H1,King Edward Memorial Hospital,Parel,2250,216,216,1.0,False,None,None,32,21,10,43,110,119,31.5,0.0,None
2019-03-19,KEM_H1,King Edward Memorial Hospital,Parel,2250,289,289,1.0,False,None,None,43,28,14,57,147,130,31.8,0.0,None
2019-03-20,KEM_H1,King Edward Memorial Hospital,Parel,2250,241,241,1.0,False,None,None,36,24,12,48,121,122,29.4,0.0,None
2019-03-21,KEM_H1,King Edward Memorial Hospital,Parel,2250,231,231,1.0,False,None,None,34,23,11,46,117,115,29.2,0.0,None
2019-03-22,KEM_H1,King Edward Memorial Hospital,Parel,2250,273,273,1.0,False,None,None,40,27,13,54,139,108,29.3,0.0,None
2019-03-23,KEM_H1,King Edward Memorial Hospital,Parel,2250,187,187,1.0,False,None,None,28,18,9,37,95,120,31.9,0.0,None
2019-03-24,KEM_H1,King Edward Memorial Hospital,Parel,2250,239,239,1.0,False,None,None,31,20,41,41,106,112,35.3,0.0,None
2019-03-25,KEM_H1,King Edward Memorial Hospital,Parel,2250,258,258,1.0,False,None,None,33,22,44,44,115,105,35.2,0.0,None
2019-03-26,KEM_H1,King Edward Memorial Hospital,Parel,2250,339,283,1.2,True,Minor,Heatwave,44,29,58,58,150,118,36.3,0.0,None
2019-03-27,KEM_H1,King Edward Memorial Hospital,Parel,2250,211,211,1.0,False,None,None,31,21,10,42,107,102,32.3,0.0,None
2019-03-28,KEM_H1,King Edward Memorial Hospital,Parel,2250,231,231,1.0,False,None,None,34,23,11,46,117,110,31.6,0.0,None
2019-03-29,KEM_H1,King Edward Memorial Hospital,Parel,2250,265,265,1.0,False,None,None,39,26,13,53,134,124,32.3,0.0,None
2019-03-30,KEM_H1,King Edward Memorial Hospital,Parel,2250,173,173,1.0,False,None,None,25,17,8,34,89,117,30.9,0.0,None
2019-03-31,KEM_H1,King Edward Memorial Hospital,Parel,2250,198,198,1.0,False,None,None,29,19,9,39,102,109,31.2,0.0,None
