date,season,temperature_c,rainfall_mm,humidity_percent,wind_speed_kmh,condition,is_extreme_heat,is_heavy_rain,is_storm
2020-01-01,winter,27.0,0.0,45.1,2.1,Pleasant,False,False,False
2020-01-02,winter,24.5,0.0,67.7,2.6,Pleasant,False,False,False
2020-01-03,winter,23.2,0.0,57.4,3.0,Pleasant,False,False,False
2020-01-04,winter,22.9,3.82,92.7,3.9,Pleasant,False,False,False
2020-01-05,winter,25.1,0.0,66.2,2.0,Pleasant,False,False,False
2020-01-06,winter,21.6,0.0,77.4,6.6,Pleasant,False,False,False
2020-01-07,winter,23.8,0.0,70.8,6.2,Pleasant,False,False,False
2020-01-08,winter,20.4,0.0,64.3,9.2,Pleasant,False,False,False
2020-01-09,winter,20.2,0.0,73.3,1.8,Pleasant,False,False,False
2020-01-10,winter,18.8,0.0,54.0,6.3,Cool,False,False,False
2020-01-11,winter,26.6,0.0,70.1,15.2,Pleasant,False,False,False
2020-01-12,winter,21.9,0.72,77.0,5.4,Pleasant,False,False,False
2020-01-13,winter,22.5,0.0,56.0,3.0,Pleasant,False,False,False
2020-01-14,winter,24.6,0.0,54.1,30.6,Pleasant,False,False,False
2020-01-15,winter,20.6,0.0,63.3,6.6,Pleasant,False,False,False
2020-01-16,winter,30.3,0.0,64.6,20.2,Hot,False,False,False
2020-01-17,winter,21.5,0.0,62.6,13.7,Pleasant,False,False,False
2020-01-18,winter,22.9,0.0,59.0,8.2,Pleasant,False,False,False
2020-01-19,winter,22.7,0.0,59.4,3.8,Pleasant,False,False,False
2020-01-20,winter,25.4,7.35,74.2,9.6,Rainy,False,False,False
2020-01-21,winter,28.6,0.0,57.7,5.7,Pleasant,False,False,False
2020-01-22,winter,24.8,3.71,82.2,29.8,Pleasant,False,False,False
2020-01-23,winter,21.5,0.0,54.4,11.7,Pleasant,False,False,False
2020-01-24,winter,22.3,5.23,85.0,9.7,Rainy,False,False,False
2020-01-25,winter,20.3,0.0,55.7,19.6,Pleasant,False,False,False
2020-01-26,winter,23.5,0.0,63.8,8.4,Pleasant,False,False,False
2020-01-27,winter,21.8,0.0,67.5,13.2,Pleasant,False,False,False
2020-01-28,winter,22.8,0.0,64.8,13.9,Pleasant,False,False,False
2020-01-29,winter,25.2,0.0,58.4,5.2,Pleasant,False,False,False
2020-01-30,winter,24.6,0.0,60.2,1.5,Pleasant,False,False,False
2020-01-31,winter,22.8,0.0,63.3,11.2,Pleasant,False,False,False
2020-02-01,winter,20.7,0.0,61.5,11.1,Pleasant,False,False,False
2020-02-02,winter,24.9,0.0,66.9,21.2,Pleasant,False,False,False
2020-02-03,winter,25.0,0.0,61.3,10.9,Pleasant,False,False,False
2020-02-04,winter,26.6,6.44,86.5,1.9,Rainy,False,False,False
