date,hospital_id,opd_count,ipd_count,icu_count,occupied_beds,energy_kwh,diesel_liters,bmw_kg,staff_on_duty
01-01-2019,KEM,55472,7855,109,1833,458250,4582,21996,1521
01-02-2019,KEM,54932,7645,107,1784,446000,4460,21408,1549
01-03-2019,KEM,59301,7577,106,1768,442000,4420,21216,1111
01-04-2019,KEM,45487,7782,108,1816,454000,4540,21792,1004
01-05-2019,KEM,58017,7418,103,1731,432750,4327,20772,1008
01-06-2019,KEM,54980,8134,113,1898,474500,4745,22776,1350
01-07-2019,KEM,56873,7555,105,1763,440750,4407,21156,1287
01-08-2019,KEM,54609,7538,105,1759,439750,4397,21108,1445
01-09-2019,KEM,50300,7710,107,1799,449750,4497,21588,1407
01-10-2019,KEM,45226,7774,108,1814,453500,4535,21768,1138
01-11-2019,KEM,57213,7924,110,1849,462250,4622,22188,1242
01-12-2019,KEM,52200,7285,102,1700,425000,4250,20400,1311
01-01-2020,KEM,46332,7812,109,1823,455750,4557,21876,1348
01-02-2020,KEM,59690,7517,105,1754,438500,4385,21048,1488
01-03-2020,KEM,54510,7470,104,1743,435750,4357,20916,1263
01-04-2020,KEM,55205,7572,106,1767,441750,4417,21204,1468
01-05-2020,KEM,63878,7945,111,1854,463500,4635,22248,1834
01-06-2020,KEM,52621,7817,109,1824,456000,4560,21888,1883
01-07-2020,KEM,65051,7701,107,1797,449250,4492,21564,1387
01-08-2020,KEM,54568,7735,108,1805,451250,4512,21660,1533
01-09-2020,KEM,58258,7650,107,1785,446250,4462,21420,1830
01-10-2020,KEM,53427,7478,104,1745,436250,4362,20940,1618
01-11-2020,KEM,59137,7560,105,1764,441000,4410,21168,1575
01-12-2020,KEM,54406,7508,105,1752,438000,4380,21024,1414
01-01-2021,KEM,57718,7795,109,1819,454750,4547,21828,1323
01-02-2021,KEM,53883,7302,102,1704,426000,4260,20448,1208
01-03-2021,KEM,58522,7667,107,1789,447250,4472,21468,1380
01-04-2021,KEM,55831,7787,109,1817,454250,4542,21804,1317
01-05-2021,KEM,70105,7731,108,1804,451000,4510,21648,1551
01-06-2021,KEM,49676,7701,107,1797,449250,4492,21564,2025
01-07-2021,KEM,51134,7941,111,1853,463250,4632,22236,1476
01-08-2021,KEM,68571,7881,110,1839,459750,4597,22068,1272
01-09-2021,KEM,53417,7740,108,1806,451500,4515,21672,1238
01-10-2021,KEM,58913,7405,103,1728,432000,4320,20736,1227
01-11-2021,KEM,54438,7487,104,1747,436750,4367,20964,1236
01-12-2021,KEM,63602,7778,108,1815,453750,4537,21780,1175
01-01-2022,KEM,60647,7787,109,1817,454250,4542,21804,1125
01-02-2022,KEM,57920,7864,110,1835,458750,4587,22020,1395
01-03-2022,KEM,57556,7517,105,1754,438500,4385,21048,1162
01-04-2022,KEM,58915,8250,115,1925,481250,4812,23100,1154
01-05-2022,KEM,60677,7431,104,1734,433500,4335,20808,1226
01-06-2022,KEM,58571,7992,111,1865,466250,4662,22380,1671
01-07-2022,KEM,52010,7641,106,1783,445750,4457,21396,1247
01-08-2022,KEM,58168,7688,107,1794,448500,4485,21528,1494
01-09-2022,KEM,64426,7714,108,1800,450000,4500,21600,1564
01-10-2022,KEM,51428,7894,110,1842,460500,4605,22104,1190
01-11-2022,KEM,60266,7645,107,1784,446000,4460,21408,1292
01-12-2022,KEM,47728,7465,104,1742,435500,4355,20904,1316
01-01-2023,KEM,49242,7774,108,1814,453500,4535,21768,1381
01-02-2023,KEM,57114,7457,104,1740,435000,4350,20880,1239
01-03-2023,KEM,59404,7817,109,1824,456000,4560,21888,1374
01-04-2023,KEM,50974,7315,102,1707,426750,4267,20484,1240
01-05-2023,KEM,77921,7860,110,1834,458500,4585,22008,1331
01-06-2023,KEM,59914,7988,111,1864,466000,4660,22368,1449
01-07-2023,KEM,54917,7487,104,1747,436750,4367,20964,1336
01-08-2023,KEM,45746,8382,117,1956,489000,4890,23472,1425
01-09-2023,KEM,62375,7577,106,1768,442000,4420,21216,1325
01-10-2023,KEM,60072,7504,105,1751,437750,4377,21012,1178
01-11-2023,KEM,52584,7727,108,1803,450750,4507,21636,1519
01-12-2023,KEM,57298,7127,99,1663,415750,4157,19956,1262
01-01-2024,KEM,55604,7482,104,1746,436500,4365,20952,1422
01-02-2024,KEM,54368,7362,103,1718,429500,4295,20616,1209
01-03-2024,KEM,58528,8224,115,1919,479750,4797,23028,1160
01-04-2024,KEM,62057,8327,116,1943,485750,4857,23316,1064
01-05-2024,KEM,52269,8078,113,1885,471250,4712,22620,1314
01-06-2024,KEM,55915,7444,104,1737,434250,4342,20844,983
01-07-2024,KEM,49231,7637,106,1782,445500,4455,21384,1468
01-08-2024,KEM,56985,7585,106,1770,442500,4425,21240,1443
01-09-2024,KEM,56307,8048,112,1878,469500,4695,22536,1355
01-10-2024,KEM,52873,7770,108,1813,453250,4532,21756,1243
01-11-2024,KEM,59974,7744,108,1807,451750,4517,21684,1330
01-12-2024,KEM,45269,8327,116,1943,485750,4857,23316,1409
01-01-2019,NAIR,39853,5888,82,1374,343500,3435,16488,970
01-02-2019,NAIR,46110,5695,79,1329,332250,3322,15948,987
01-03-2019,NAIR,43806,6021,84,1405,351250,3512,16860,1007
01-04-2019,NAIR,40119,5644,79,1317,329250,3292,15804,968
01-05-2019,NAIR,42998,5820,81,1358,339500,3395,16296,963
01-06-2019,NAIR,41640,5944,83,1387,346750,3467,16644,1113
01-07-2019,NAIR,45957,6008,84,1402,350500,3505,16824,1193
01-08-2019,NAIR,41181,5974,83,1394,348500,3485,16728,1097
01-09-2019,NAIR,45029,5845,81,1364,341000,3410,16368,1098
01-10-2019,NAIR,37339,5605,78,1308,327000,3270,15696,1056
01-11-2019,NAIR,45170,5961,83,1391,347750,3477,16692,916
01-12-2019,NAIR,39622,5841,81,1363,340750,3407,16356,1077
01-01-2020,NAIR,41134,5644,79,1317,329250,3292,15804,993
01-02-2020,NAIR,43535,5648,79,1318,329500,3295,15816,983
01-03-2020,NAIR,43486,5721,80,1335,333750,3337,16020,734
01-04-2020,NAIR,41592,5670,79,1323,330750,3307,15876,1418
01-05-2020,NAIR,41820,6012,84,1403,350750,3507,16836,1260
01-06-2020,NAIR,41273,5824,81,1359,339750,3397,16308,1253
01-07-2020,NAIR,49014,5940,83,1386,346500,3465,16632,1302
01-08-2020,NAIR,40794,5978,83,1395,348750,3487,16740,1316
01-09-2020,NAIR,39214,5845,81,1364,341000,3410,16368,1311
01-10-2020,NAIR,46576,6145,86,1434,358500,3585,17208,1319
01-11-2020,NAIR,43279,6017,84,1404,351000,3510,16848,1305
01-12-2020,NAIR,39952,5644,79,1317,329250,3292,15804,959
01-01-2021,NAIR,43139,5661,79,1321,330250,3302,15852,1113
01-02-2021,NAIR,40048,6034,84,1408,352000,3520,16896,974
01-03-2021,NAIR,50283,5537,77,1292,323000,3230,15504,938
01-04-2021,NAIR,48253,5451,76,1272,318000,3180,15264,1191
01-05-2021,NAIR,39952,5477,76,1278,319500,3195,15336,1138
01-06-2021,NAIR,45147,5730,80,1337,334250,3342,16044,1243
01-07-2021,NAIR,44686,5854,81,1366,341500,3415,16392,1062
01-08-2021,NAIR,47930,5490,76,1281,320250,3202,15372,1018
01-09-2021,NAIR,42991,6167,86,1439,359750,3597,17268,1202
01-10-2021,NAIR,49960,6278,87,1465,366250,3662,17580,1014
01-11-2021,NAIR,48316,5965,83,1392,348000,3480,16704,916
01-12-2021,NAIR,35025,6055,84,1413,353250,3532,16956,834
01-01-2022,NAIR,45549,5768,80,1346,336500,3365,16152,1125
01-02-2022,NAIR,36634,6184,86,1443,360750,3607,17316,893
01-03-2022,NAIR,42361,5910,82,1379,344750,3447,16548,754
01-04-2022,NAIR,45346,5541,77,1293,323250,3232,15516,862
